primary_key,state,year,enroll,total_revenue,federal_revenue,state_revenue,local_revenue,total_expenditure,instruction_expenditure,support_services_expenditure,other_expenditure,capital_outlay_expenditure,grades_pk_g,grades_kg_g,grades_4_g,grades_8_g,grades_12_g,grades_1_8_g,grades_9_12_g,grades_all_g,avg_math_4_score,avg_math_8_score,avg_reading_4_score,avg_reading_8_score,region,lat,long,change,start,end,math_stats_g4,math_category_grade4,reading_stats_g4,reading_category_grade4,math_stats_g8,math_category_grade8,reading_stats_g8,reading_category_grade8
2003_ALABAMA,alabama,2003,727900.0,5196054.0,567704.0,2966981.0,1661369.0,5298932.0,2817111.0,1521462.0,424662.0,432279.0,1852.0,56541.0,57323.0,59663.0,42005.0,466920.0,205907.0,731220.0,223.0,262.0,207.0,253.0,South,32.377716,-86.300568,640003.0,87897.0,727900.0,"{'min': 205.0, 'max': 243.0, 'mean': 233.92156862745097}",Below Average,"{'min': 188.0, 'max': 228.0, 'mean': 217.4313725490196}",Below Average,"{'min': 243.0, 'max': 291.0, 'mean': 276.7647058823529}",Below Average,"{'min': 239.0, 'max': 273.0, 'mean': 262.3921568627451}",Below Average
2003_ALASKA,alaska,2003,133303.0,1425948.0,259423.0,813371.0,353154.0,1610289.0,763525.0,514052.0,55715.0,247005.0,1883.0,9475.0,10115.0,11140.0,8651.0,82337.0,40238.0,133933.0,233.0,279.0,212.0,256.0,West,58.301598,-134.420212,-594597.0,727900.0,133303.0,"{'min': 205.0, 'max': 243.0, 'mean': 233.92156862745097}",Below Average,"{'min': 188.0, 'max': 228.0, 'mean': 217.4313725490196}",Below Average,"{'min': 243.0, 'max': 291.0, 'mean': 276.7647058823529}",Excellent,"{'min': 239.0, 'max': 273.0, 'mean': 262.3921568627451}",Below Average
2003_ARIZONA,arizona,2003,875111.0,6529894.0,740579.0,2912629.0,2876686.0,6210287.0,2810907.0,1964229.0,303924.0,864642.0,9376.0,76365.0,76207.0,76376.0,68815.0,613442.0,307272.0,1012068.0,229.0,271.0,209.0,255.0,West,33.448143,-112.096962,741808.0,133303.0,875111.0,"{'min': 205.0, 'max': 243.0, 'mean': 233.92156862745097}",Below Average,"{'min': 188.0, 'max': 228.0, 'mean': 217.4313725490196}",Below Average,"{'min': 243.0, 'max': 291.0, 'mean': 276.7647058823529}",Below Average,"{'min': 239.0, 'max': 273.0, 'mean': 262.3921568627451}",Below Average
2003_ARKANSAS,arkansas,2003,450158.0,3241275.0,379947.0,2394336.0,466992.0,3242799.0,1768713.0,972598.0,170767.0,247245.0,2573.0,36391.0,34070.0,37004.0,28840.0,281834.0,132712.0,454523.0,229.0,266.0,214.0,258.0,South,34.746613,-92.288986,-424953.0,875111.0,450158.0,"{'min': 205.0, 'max': 243.0, 'mean': 233.92156862745097}",Below Average,"{'min': 188.0, 'max': 228.0, 'mean': 217.4313725490196}",Below Average,"{'min': 243.0, 'max': 291.0, 'mean': 276.7647058823529}",Below Average,"{'min': 239.0, 'max': 273.0, 'mean': 262.3921568627451}",Below Average
2003_CALIFORNIA,california,2003,6226552.0,59815855.0,5795655.0,33617766.0,20402434.0,59749885.0,29561563.0,17030335.0,2995767.0,7341541.0,114939.0,456941.0,493415.0,500143.0,395194.0,3929869.0,1854518.0,6413867.0,227.0,267.0,206.0,251.0,West,38.576668,-121.493629,5776394.0,450158.0,6226552.0,"{'min': 205.0, 'max': 243.0, 'mean': 233.92156862745097}",Below Average,"{'min': 188.0, 'max': 228.0, 'mean': 217.4313725490196}",Below Average,"{'min': 243.0, 'max': 291.0, 'mean': 276.7647058823529}",Below Average,"{'min': 239.0, 'max': 273.0, 'mean': 262.3921568627451}",Below Average
2003_COLORADO,colorado,2003,751049.0,6297242.0,400219.0,2715219.0,3181804.0,6685029.0,3168745.0,2149761.0,236480.0,821129.0,19993.0,55913.0,56437.0,58897.0,48924.0,460419.0,221368.0,757693.0,235.0,283.0,224.0,268.0,West,39.739227,-104.984856,-5475503.0,6226552.0,751049.0,"{'min': 205.0, 'max': 243.0, 'mean': 233.92156862745097}",Excellent,"{'min': 188.0, 'max': 228.0, 'mean': 217.4313725490196}",Excellent,"{'min': 243.0, 'max': 291.0, 'mean': 276.7647058823529}",Excellent,"{'min': 239.0, 'max': 273.0, 'mean': 262.3921568627451}",Excellent
2003_CONNECTICUT,connecticut,2003,548466.0,6959891.0,351001.0,2481901.0,4126989.0,6751815.0,3721466.0,1951609.0,252325.0,539870.0,11823.0,42310.0,43494.0,45854.0,37229.0,353661.0,169409.0,577203.0,241.0,284.0,228.0,267.0,Northeast,41.764046,-72.682198,-202583.0,751049.0,548466.0,"{'min': 205.0, 'max': 243.0, 'mean': 233.92156862745097}",Excellent,"{'min': 188.0, 'max': 228.0, 'mean': 217.4313725490196}",Excellent,"{'min': 243.0, 'max': 291.0, 'mean': 276.7647058823529}",Excellent,"{'min': 239.0, 'max': 273.0, 'mean': 262.3921568627451}",Excellent
2003_DELAWARE,delaware,2003,111282.0,1242436.0,91986.0,794472.0,355978.0,1317447.0,673997.0,367660.0,53399.0,171247.0,642.0,7904.0,9097.0,10222.0,7292.0,74352.0,34770.0,117668.0,236.0,277.0,224.0,265.0,South,39.157307,-75.519722,-437184.0,548466.0,111282.0,"{'min': 205.0, 'max': 243.0, 'mean': 233.92156862745097}",Excellent,"{'min': 188.0, 'max': 228.0, 'mean': 217.4313725490196}",Excellent,"{'min': 243.0, 'max': 291.0, 'mean': 276.7647058823529}",Excellent,"{'min': 239.0, 'max': 273.0, 'mean': 262.3921568627451}",Excellent
2003_DISTRICT_OF_COLUMBIA,district_of_columbia,2003,67522.0,1114061.0,152599.0,0.0,961462.0,1105963.0,473414.0,406078.0,32193.0,194278.0,5168.0,5659.0,5920.0,5158.0,2971.0,45706.0,16828.0,78057.0,205.0,243.0,188.0,239.0,South,38.8964,-77.0262,-43760.0,111282.0,67522.0,"{'min': 205.0, 'max': 243.0, 'mean': 233.92156862745097}",Below Average,"{'min': 188.0, 'max': 228.0, 'mean': 217.4313725490196}",Below Average,"{'min': 243.0, 'max': 291.0, 'mean': 276.7647058823529}",Below Average,"{'min': 239.0, 'max': 273.0, 'mean': 262.3921568627451}",Below Average
2003_FLORIDA,florida,2003,2536699.0,19549835.0,1956803.0,8689141.0,8903891.0,20180142.0,9622598.0,5938231.0,1225274.0,2924134.0,49588.0,191986.0,178109.0,205443.0,144764.0,1590802.0,755252.0,2587628.0,234.0,271.0,218.0,257.0,South,30.438118,-84.281296,2469177.0,67522.0,2536699.0,"{'min': 205.0, 'max': 243.0, 'mean': 233.92156862745097}",Excellent,"{'min': 188.0, 'max': 228.0, 'mean': 217.4313725490196}",Excellent,"{'min': 243.0, 'max': 291.0, 'mean': 276.7647058823529}",Below Average,"{'min': 239.0, 'max': 273.0, 'mean': 262.3921568627451}",Below Average
